"Thématiques","Critères","Accueil","Contact","Mentions légales","Accessibilité","Aide / Support","Authentification","Page formulaire"
"1","1","na",,,,,,
"1","2",,,,,,,
"1","3",,,,,,,
"1","4",,,,,,,
"1","5",,,,,,,
"1","6",,,,,,,
"1","7",,,,,,,
"1","8",,,,,,,
"1","9",,,,,,,
"2","1",,,,,,,
"2","2",,,,,,,
"3","1","c",,,,,,
"3","2",,,,,,,
"3","3",,,,,,,
"4","1","na",,,,,,
"4","2",,,,,,,
"4","3",,,,,,,
"4","4",,,,,,,
"4","5",,,,,,,
"4","6",,,,,,,
"4","7",,,,,,,
"4","8",,,,,,,
"4","9",,,,,,,
"4","10","na",,,,,,
"4","11",,,,,,,
"4","12",,,,,,,
"4","13",,,,,,,
"5","1",,,,,,,
"5","2",,,,,,,
"5","3","na",,,,,,
"5","4",,,,,,,
"5","5",,,,,,,
"5","6",,,,,,,
"5","7","na",,,,,,
"5","8",,,,,,,
"6","1","nc|Les liens d'aide ""?"" près de ""Je fais la démarche ... pour moi-même ... ou pour quelqu'un d'autre"" ne sont pas explicites",,,,,,
"6","2","nc|Le lien sur le logo de l'ANTS (en haut à gauche) n'a pas d'intitulé. La synthèse vocale indique le titre de la page (""siv-tp"", par ailleurs non-explicite)",,,,,,
"7","1","nc|Les champs (ex. bouttons radios) sont définis par défaut avec l'attribut `aria-invalid=""true""`",,,,,,
"7","2",,,,,,,
"7","3","nc|Les éléments (""custom elements"") <siv-radio> ne peuvent être sélectionnés comme des boutons radio classiques par les touches de direction",,,,,,
"7","4",,,,,,,
"7","5",,,,,,,
"8","1",,,,,,,
"8","2",,,,,,,
"8","3","c",,,,,,
"8","4","c",,,,,,
"8","5","c",,,,,,
"8","6",,,,,,,
"8","7",,,,,,,
"8","8",,,,,,,
"8","9",,,,,,,
"8","10",,,,,,,
"9","1","nc|Un titre h1 puis en enfants des titres h3 sans titre h2",,,,,,
"9","2",,,,,,,
"9","3",,,,,,,
"9","4",,,,,,,
"10","1",,,,,,,
"10","2",,,,,,,
"10","3","nc|""mon espace"" ne devrait pas se situer avant ""AGENCE NATIONALE DES TITRES SÉCURISÉS""",,,,,,
"10","4",,,,,,,
"10","5",,,,,,,
"10","6","c",,,,,,
"10","7","nc|Le contraste du `box-shadow`remplaçant le `outline` n'est pas suffisant sur fond gris (contraste de 2.998:1)",,,,,,
"10","8",,,,,,,
"10","9",,,,,,,
"10","10",,,,,,,
"10","11",,,,,,,
"10","12",,,,,,,
"10","13",,,,,,,
"10","14",,,,,,,
"11","1","nc|Ex. de champ non conforme : le numéro de téléphone portable. Le label est associé à un champ ""tdTelephoneProtable"" qui n'existe pas (ça aurait dû être ""PPNG_telephone_protable"")",,,,,,
"11","2","nc|Cf. id=""changementTitulaire"" --> le texte du label n'est pas bon",,,,,,
"11","3",,,,,,,
"11","4",,,,,,,
"11","5","c",,,,,,
"11","6","c",,,,,,
"11","7",,,,,,,
"11","8",,,,,,,
"11","9","c",,,,,,
"11","10","c",,,,,,
"11","11",,,,,,,
"11","12",,,,,,,
"11","13",,,,,,,
"12","1",,,,,,,
"12","2",,,,,,,
"12","3",,,,,,,
"12","4",,,,,,,
"12","5",,,,,,,
"12","6",,,,,,,
"12","7",,,,,,,
"12","8","nc|Seul l'ordre de tabulation du lien ""Mon espace"" est incorrecte. Le reste est bon.",,,,,,
"12","9","c",,,,,,
"12","10",,,,,,,
"12","11",,,,,,,
"13","1",,,,,,,
"13","2",,,,,,,
"13","3",,,,,,,
"13","4",,,,,,,
"13","5",,,,,,,
"13","6",,,,,,,
"13","7",,,,,,,
"13","8",,,,,,,
"13","9",,,,,,,
"13","10",,,,,,,
"13","11",,,,,,,
"13","12",,,,,,,
