"Thématiques","Critères","Accueil / Connexion|https://tele7.interieur.gouv.fr/tlp/","Contacts|https://tele7.interieur.gouv.fr/tlp/contacts","Mentions légales|https://tele7.interieur.gouv.fr/tlp/mentions-legales","Consultation|https://tele7.interieur.gouv.fr/tlp/consultation"
"1","1","c","c","c","nc|L'image pour se déconnecter ""power_settings"" n'a pas d'alternative textuelle. Elle mériterait d'ailleurs plutôt d'être accompagnée d'un texte visible."
"1","2","","","",""
"1","3","","","",""
"1","4","","","",""
"1","5","","na","",""
"1","6","","","",""
"1","7","","","",""
"1","8","","","",""
"1","9","","na","",""
"2","1","","","",""
"2","2","","c","",""
"3","1","nc|Les liens Permis ""3 volets""... et Permis ""format carte de crédit""... en bleu ne sont pas accessibles.","","nc|Le lien adresse e-mail en bleu n'est pas accessible.","nc|Les liens en bleu ne sont pas accessibles (imprimer, obtenir plus d'information, etc.)"
"3","2","","c","",""
"3","3","","c","",""
"4","1","na","","na","na"
"4","2","","","",""
"4","3","c","c","",""
"4","4","","","",""
"4","5","","","",""
"4","6","","","",""
"4","7","","","",""
"4","8","","c","",""
"4","9","","c","",""
"4","10","na","na","na","na"
"4","11","","c","",""
"4","12","nc","nc","",""
"4","13","","","",""
"5","1","","","",""
"5","2","","","",""
"5","3","na","","na","na"
"5","4","","","",""
"5","5","","nc|Aucun titre !","",""
"5","6","","","",""
"5","7","na","","na","na"
"5","8","","","",""
"6","1","c","","c","nc|Le titre du lien ""Je donne mon avis"" est mal formaté et donc mal vocalisé (""Je donne mon avis sur cette dÃ©marche"")"
"6","2","c","","c","nc|Le lien image pour se déconnecter n'a pas d'intitulé"
"7","1","nc|Le bouton ""se connecter avec son code confidentiel"" ouvre un panneau dépliant. Ce composant d'interface n'est pas correctement restitué par les technologies d'assistance. On pourrait utiliser aria-expanded (cf. https://www.accede-web.com/notices/interface-riche/panneaux-depliants/)","","c","nc|Le bouton ""Demander un relevé d'information restreint"" semble désactivé mais il permet parfois de télécharger le Relevé d'Information Restreint (RIR) au clavier avec VoiceOver sous Safari"
"7","2","","","",""
"7","3","c","","c","c"
"7","4","","","",""
"7","5","","","",""
"8","1","","c","",""
"8","2","","","",""
"8","3","c","","c","c"
"8","4","c","","c","c"
"8","5","c","","c","c"
"8","6","nc","","nc","nc"
"8","7","","","",""
"8","8","","nc|Contraste insuffisant entre le lien e-mail et le texte environnant (2,7:1)","",""
"8","9","","c","",""
"8","10","","","",""
"9","1","nc|Aucun titre !","","nc|Aucun titre !","nc|Seul un h4 : ""Avertissements""..."
"9","2","","","",""
"9","3","","","",""
"9","4","","","",""
"10","1","","","",""
"10","2","","","",""
"10","3","c","","c","c"
"10","4","","","",""
"10","5","","na","",""
"10","6","c","","nc|Contraste insuffisant entre le lien internet (ou le lien e-mail) et le texte environnant (2,7:1)","nc|Contraste insuffisant entre le lien internet (ou le lien e-mail) et le texte environnant (2,7:1)"
"10","7","nc|le focus sur le bouton France Connect n'est pas visible","","c","c"
"10","8","","na","",""
"10","9","","","",""
"10","10","","","",""
"10","11","","na","",""
"10","12","","na","",""
"10","13","","","",""
"10","14","","","",""
"11","1","nc|Les champs input_numero_permis_2 et input_numero_permis_3 n'ont pas de label","","na","na"
"11","2","nc|Le label ""N° de dossier (N E P H)"" est mal vocalisé. On peut utiliser 'aria-labelledby' sur le champ, qui pointe vers un nouvel élément `<span class=""sr-only"">Numéro de dossier (<abbr>NEPH</abbr>)</span>`.","na","na","na"
"11","3","","na","",""
"11","4","","na","",""
"11","5","nc|Le ""N° de dossier"" devrait être un regroupement de 3 champs","","na","na"
"11","6","na","","na","na"
"11","7","","","",""
"11","8","","","",""
"11","9","c","","na","c"
"11","10","c","","na","na"
"11","11","","","",""
"11","12","","","",""
"11","13","","","",""
"12","1","","","",""
"12","2","","","",""
"12","3","","","",""
"12","4","","","",""
"12","5","","","",""
"12","6","","c","",""
"12","7","","c","",""
"12","8","c","nc|Le lien adresse e-mail en bleu n'est pas accessible.","c","c"
"12","9","c","","c","c"
"12","10","","","",""
"12","11","","","",""
"13","1","","","",""
"13","2","","","",""
"13","3","","","",""
"13","4","","","",""
"13","5","","","",""
"13","6","","","",""
"13","7","","","",""
"13","8","","","",""
"13","9","","","",""
"13","10","","","",""
"13","11","","","",""
"13","12","","","",""
