"Thématiques","Critères","Je change d'adresse | https://mesdemarches.siv.interieur.gouv.fr/siv-tp/#/adresses"
"1","1","nc"
"1","2","nt"
"1","3","nt"
"1","4","nt"
"1","5","nt"
"1","6","nt"
"1","7","nt"
"1","8","nt"
"1","9","nt"
"2","1","nt"
"2","2","nt"
"3","1","c"
"3","2","nt"
"3","3","nt"
"4","1","na"
"4","2","nt"
"4","3","nt"
"4","4","nt"
"4","5","nt"
"4","6","nt"
"4","7","nt"
"4","8","nt"
"4","9","nt"
"4","10","na"
"4","11","nt"
"4","12","nt"
"4","13","nt"
"5","1","nt"
"5","2","nt"
"5","3","na"
"5","4","nt"
"5","5","nt"
"5","6","nt"
"5","7","na"
"5","8","nt"
"6","1","nc"
"6","2","nc"
"7","1","nc"
"7","2","nt"
"7","3","nc"
"7","4","nt"
"7","5","nt"
"8","1","nt"
"8","2","nt"
"8","3","c"
"8","4","c"
"8","5","c"
"8","6","nt"
"8","7","nt"
"8","8","nt"
"8","9","nt"
"8","10","nt"
"9","1","nc"
"9","2","nt"
"9","3","nt"
"9","4","nt"
"10","1","nt"
"10","2","nt"
"10","3","nc"
"10","4","nt"
"10","5","nt"
"10","6","c"
"10","7","c"
"10","8","nt"
"10","9","nt"
"10","10","nt"
"10","11","nt"
"10","12","nt"
"10","13","nt"
"10","14","nt"
"11","1","nc"
"11","2","na"
"11","3","nt"
"11","4","nt"
"11","5","nc"
"11","6","na"
"11","7","nt"
"11","8","nt"
"11","9","nt"
"11","10","nt"
"11","11","nt"
"11","12","nt"
"11","13","nt"
"12","1","nt"
"12","2","nt"
"12","3","nt"
"12","4","nt"
"12","5","nt"
"12","6","nt"
"12","7","nt"
"12","8","nc"
"12","9","c"
"12","10","nt"
"12","11","nt"
"13","1","nt"
"13","2","nt"
"13","3","nt"
"13","4","nt"
"13","5","nt"
"13","6","nt"
"13","7","nt"
"13","8","nt"
"13","9","nt"
"13","10","nt"
"13","11","nt"
"13","12","nt"
